iter	Passed	Remaining
0	188	93972
1	232	57879
2	276	45826
3	321	39839
4	362	35878
5	405	33359
6	450	31750
7	465	28638
8	506	27648
9	545	26736
10	582	25905
11	628	25572
12	670	25106
13	714	24790
14	744	24062
15	784	23717
16	827	23507
17	872	23356
18	908	23000
19	949	22778
20	990	22602
21	1038	22567
22	1080	22418
23	1121	22242
24	1137	21618
25	1181	21540
26	1197	20984
27	1234	20809
28	1277	20744
29	1321	20706
30	1361	20592
31	1377	20139
32	1417	20065
33	1458	19991
34	1498	19909
35	1513	19510
36	1550	19396
37	1589	19320
38	1617	19117
39	1657	19059
40	1700	19034
41	1718	18737
42	1763	18737
43	1806	18723
44	1815	18360
45	1856	18320
46	1894	18255
47	1938	18255
48	1982	18249
49	2021	18195
50	2059	18133
51	2105	18139
52	2150	18134
53	2177	17980
54	2216	17930
55	2258	17905
56	2281	17732
57	2325	17718
58	2333	17444
59	2375	17417
60	2420	17416
61	2464	17409
62	2506	17383
63	2523	17189
64	2563	17153
65	2600	17103
66	2641	17072
67	2683	17048
68	2722	17006
69	2746	16872
70	2782	16813
71	2821	16772
72	2864	16756
73	2904	16722
74	2924	16573
75	2969	16568
76	3013	16552
77	3055	16530
78	3071	16369
79	3111	16337
80	3155	16325
81	3182	16222
82	3206	16108
83	3250	16096
84	3293	16082
85	3303	15902
86	3351	15909
87	3395	15898
88	3438	15880
89	3483	15867
90	3523	15836
91	3566	15818
92	3611	15803
93	3653	15778
94	3693	15745
95	3732	15708
96	3752	15589
97	3793	15560
98	3834	15532
99	3844	15377
100	3884	15344
101	3908	15251
102	3950	15226
103	3994	15209
104	4030	15162
105	4046	15040
106	4083	14998
107	4127	14982
108	4170	14960
109	4212	14934
110	4254	14911
111	4295	14880
112	4338	14858
113	4381	14835
114	4433	14841
115	4473	14809
116	4518	14790
117	4556	14749
118	4593	14708
119	4634	14676
120	4675	14643
121	4712	14600
122	4758	14585
123	4768	14458
124	4784	14352
125	4824	14320
126	4863	14285
127	4905	14257
128	4946	14225
129	4994	14214
130	5016	14130
131	5025	14010
132	5072	13996
133	5113	13965
134	5153	13934
135	5193	13899
136	5234	13869
137	5283	13860
138	5320	13816
139	5361	13787
140	5398	13744
141	5435	13702
142	5471	13660
143	5509	13621
144	5548	13584
145	5578	13525
146	5603	13455
147	5643	13422
148	5689	13402
149	5729	13369
150	5768	13333
151	5812	13308
152	5855	13280
153	5897	13251
154	5942	13226
155	5986	13201
156	6021	13155
157	6063	13123
158	6104	13091
159	6146	13061
160	6187	13028
161	6228	12995
162	6263	12950
163	6300	12907
164	6338	12868
165	6381	12839
166	6427	12816
167	6465	12777
168	6510	12750
169	6552	12720
170	6591	12682
171	6631	12645
172	6672	12612
173	6715	12582
174	6755	12546
175	6795	12510
176	6836	12475
177	6878	12443
178	6921	12412
179	6962	12378
180	6997	12333
181	7041	12303
182	7084	12272
183	7130	12246
184	7172	12213
185	7219	12187
186	7266	12163
187	7309	12130
188	7348	12091
189	7393	12063
190	7436	12030
191	7480	12000
192	7519	11961
193	7567	11935
194	7607	11899
195	7645	11858
196	7682	11816
197	7721	11777
198	7774	11759
199	7815	11723
200	7851	11679
201	7888	11637
202	7931	11603
203	7974	11570
204	8021	11542
205	8067	11514
206	8113	11484
207	8155	11448
208	8196	11412
209	8252	11396
210	8294	11360
211	8338	11328
212	8376	11286
213	8420	11253
214	8462	11217
215	8501	11177
216	8542	11140
217	8579	11097
218	8616	11055
219	8657	11018
220	8698	10981
221	8735	10939
222	8774	10899
223	8813	10860
224	8850	10817
225	8887	10775
226	8929	10738
227	8970	10701
228	9014	10667
229	9059	10634
230	9103	10600
231	9143	10562
232	9194	10535
233	9229	10492
234	9266	10449
235	9312	10417
236	9356	10383
237	9399	10346
238	9442	10311
239	9484	10274
240	9520	10231
241	9556	10188
242	9594	10147
243	9632	10106
244	9671	10066
245	9713	10028
246	9751	9988
247	9793	9950
248	9829	9908
249	9869	9869
250	9910	9831
251	9948	9790
252	9986	9749
253	10025	9709
254	10063	9668
255	10099	9625
256	10136	9584
257	10174	9543
258	10214	9504
259	10250	9462
260	10287	9420
261	10326	9380
262	10365	9341
263	10405	9301
264	10449	9266
265	10489	9227
266	10527	9187
267	10565	9146
268	10604	9106
269	10645	9068
270	10683	9028
271	10728	8992
272	10770	8955
273	10809	8916
274	10847	8875
275	10890	8838
276	10932	8801
277	10969	8760
278	11007	8718
279	11051	8683
280	11088	8641
281	11126	8601
282	11166	8562
283	11202	8520
284	11238	8478
285	11275	8436
286	11314	8396
287	11351	8356
288	11388	8315
289	11426	8274
290	11465	8234
291	11504	8195
292	11542	8154
293	11580	8114
294	11618	8073
295	11655	8032
296	11694	7993
297	11737	7956
298	11781	7920
299	11820	7880
300	11862	7842
301	11906	7806
302	11949	7769
303	11990	7730
304	12031	7692
305	12074	7655
306	12111	7614
307	12150	7574
308	12187	7533
309	12224	7492
310	12261	7451
311	12300	7412
312	12337	7371
313	12372	7328
314	12410	7288
315	12449	7249
316	12488	7209
317	12523	7167
318	12568	7131
319	12613	7094
320	12656	7057
321	12700	7020
322	12744	6983
323	12790	6947
324	12826	6906
325	12864	6866
326	12905	6827
327	12943	6787
328	12980	6746
329	13020	6707
330	13058	6667
331	13095	6626
332	13133	6586
333	13175	6548
334	13212	6507
335	13248	6466
336	13286	6426
337	13330	6389
338	13367	6348
339	13414	6312
340	13455	6273
341	13493	6233
342	13530	6193
343	13576	6156
344	13618	6118
345	13654	6077
346	13693	6037
347	13738	6000
348	13776	5960
349	13814	5920
350	13852	5880
351	13890	5840
352	13926	5799
353	13963	5758
354	14004	5720
355	14047	5682
356	14084	5641
357	14121	5601
358	14161	5561
359	14203	5523
360	14242	5483
361	14281	5444
362	14318	5403
363	14355	5363
364	14391	5322
365	14429	5282
366	14466	5242
367	14503	5202
368	14544	5163
369	14588	5125
370	14631	5087
371	14671	5048
372	14709	5008
373	14749	4969
374	14786	4928
375	14823	4888
376	14862	4848
377	14903	4810
378	14947	4772
379	14993	4734
380	15035	4696
381	15081	4658
382	15123	4619
383	15166	4581
384	15208	4542
385	15251	4504
386	15288	4464
387	15325	4423
388	15361	4383
389	15398	4343
390	15436	4303
391	15473	4263
392	15512	4223
393	15553	4184
394	15590	4144
395	15626	4103
396	15662	4063
397	15699	4023
398	15744	3985
399	15783	3945
400	15820	3905
401	15858	3865
402	15903	3827
403	15940	3787
404	15978	3748
405	16021	3709
406	16067	3671
407	16114	3633
408	16160	3595
409	16198	3555
410	16238	3516
411	16281	3477
412	16323	3438
413	16360	3398
414	16403	3359
415	16450	3321
416	16496	3283
417	16540	3244
418	16584	3206
419	16623	3166
420	16672	3128
421	16735	3093
422	16774	3053
423	16813	3013
424	16853	2974
425	16889	2933
426	16926	2893
427	16964	2853
428	17002	2813
429	17040	2774
430	17077	2734
431	17115	2694
432	17151	2653
433	17187	2613
434	17223	2573
435	17264	2534
436	17310	2495
437	17354	2456
438	17391	2416
439	17429	2376
440	17465	2336
441	17501	2296
442	17538	2256
443	17576	2216
444	17619	2177
445	17663	2138
446	17707	2099
447	17751	2060
448	17796	2021
449	17841	1982
450	17878	1942
451	17914	1902
452	17952	1862
453	17994	1823
454	18031	1783
455	18068	1743
456	18107	1703
457	18144	1663
458	18187	1624
459	18229	1585
460	18273	1545
461	18312	1506
462	18358	1467
463	18400	1427
464	18445	1388
465	18483	1348
466	18524	1309
467	18568	1269
468	18616	1230
469	18661	1191
470	18706	1151
471	18748	1112
472	18788	1072
473	18829	1032
474	18871	993
475	18914	953
476	18958	914
477	19004	874
478	19046	835
479	19084	795
480	19131	755
481	19171	715
482	19216	676
483	19256	636
484	19299	596
485	19342	557
486	19388	517
487	19428	477
488	19467	437
489	19511	398
490	19556	358
491	19598	318
492	19639	278
493	19684	239
494	19726	199
495	19774	159
496	19819	119
497	19858	79
498	19902	39
499	19945	0
